ns:m.0345h German
ns:m.0d05w3 Chinese
ns:m.0f8l9c French
ns:m.0b90_r Mexican
ns:m.07ssc British
ns:m.06mkj Spanish
ns:m.03_3d Japanese
ns:m.0d060g Canadian
ns:m.03rjj Italian
ns:m.09c7w0 American
ns:m.0d0vqn Swedish
ns:m.059j2 Dutch
ns:m.05zppz male
ns:m.02zsn female
ns:organization.organization.companies_acquired/ns:business.acquisition.company_acquired acquired
ns:organization.organization.acquired_by/ns:business.acquisition.acquiring_company acquired_by
ns:film.actor.film/ns:film.performance.film starred_in
ns:film.film_art_director.films_art_directed art_directed
ns:film.film.film_art_direction_by art_direction_by
ns:film.cinematographer.film cinematographer_of
ns:film.film.cinematography cinematography_by
ns:film.film_costumer_designer.costume_design_for_film costume_designed
ns:film.film.costume_design_by costume_designed_by
ns:film.director.film directed
ns:film.film.directed_by directed_by
ns:film.film_distributor.films_distributed/ns:film.film_film_distributor_relationship.film distributed
ns:film.film.distributors/ns:film.film_film_distributor_relationship.distributor distributed_by
ns:film.editor.film edited
ns:film.film.edited_by edited_by
ns:business.employer.employees/ns:business.employment_tenure.person employed
ns:people.person.employment_history/ns:business.employment_tenure.company employed_by
ns:film.producer.films_executive_produced executive_produced
ns:film.film.executive_produced_by executive_produced_by
ns:organization.organization_founder.organizations_founded founded
ns:organization.organization.founders founded_by
ns:film.actor.film/ns:film.performance.character portrayed
ns:people.person.gender has_gender
#ns:people.person.gender gender_of
ns:people.person.nationality has_nationality
#ns:people.person.nationality nationality_of
ns:film.film.prequel has_prequel
ns:film.film.sequel has_sequel
ns:influence.influence_node.influenced influenced
ns:influence.influence_node.influenced_by influenced_by
ns:people.person.parents|ns:fictional_universe.fictional_character.parents|ns:organization.organization.parent/ns:organization.organization_relationship.parent child_of
ns:people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses married_to
ns:people.person.children|ns:fictional_universe.fictional_character.children|ns:organization.organization.child/ns:organization.organization_relationship.child parent_of
ns:film.producer.film|ns:film.production_company.films produced
ns:film.film.produced_by|ns:film.film.production_companies produced_by
ns:people.person.sibling_s/ns:people.sibling_relationship.sibling|ns:fictional_universe.fictional_character.siblings/ns:fictional_universe.sibling_relationship_of_fictional_characters.siblings sibling_of
ns:film.film.starring/ns:film.performance.actor starred
ns:film.film.written_by written_by
ns:film.writer.film wrote
ns:film.actor actor
ns:film.film_art_director art_director
ns:film.cinematographer cinematographer
ns:film.film_costumer_designer costume_designer
ns:film.director film_director
ns:film.editor film_editor
ns:business.employer employer
ns:fictional_universe.fictional_character fictional_character
ns:film.film film
ns:film.film_distributor film_distributor
ns:people.person person
ns:film.producer film_producer
ns:film.production_company production_company
ns:film.writer writer
